created_at,text,tweet_id,text_processed,cat_pre
2020-03-28T13:20:28Z,90 minutes to @AJHiggi and I sharing our ideas on a rapid shift to online learning in the #COVID19 world! Excited to huddle with our global family of learners! ❤️Stay in and learn with us! #SocialDistancingSavesLives https://t.co/kGbrQRKw3J,1243890701605076992_311986967,share rapid online learn excite huddle global learn,0
2020-03-27T22:18:37Z,"Sadly, there are people in this world who try to take advantage of others during times like these. Please read this and share to keep you, your family, your friends, and others in your community safe. Thank you! 🙏 #Covid_19 #Coronavirus #OurALSCommunity https://t.co/LpzOGpa42y",1243663745928265728_137390954,try take read keep friend safe thank,0
2020-03-04T19:44:14Z,Lake Washington Institute of Technology had students &amp; faculty exposed to #CoronavirusOutbreak #CoronaVirusSeattle @ Life Care Ctr Kirkland; we break down the response by the school @ Noon @KIRO7Seattle w/ @MichelleKIRO7 https://t.co/d91M20gyWe,1235289969935167489_89669403,expose,0
2020-03-11T16:56:31Z,"Americans, PAY ATTENTION!!!

What's happening in Italy is coming to our nation. This is no time to joke about what #COVID19 is doing all over the globe.
https://t.co/qSkDdRPzB8",1237784481119027200_80467862,pay happen come,0
2020-03-27T16:55:04Z,"Hey @AcademicChatter @OpenAcademics

@NIH is extending grant submission deadlines thru May 1st for proposals with original deadlines of March 9th-May 1st — Read more here:
🔗 https://t.co/OnBX4KyZSA

#AcademicTwitter #PhDchat #AcademicChatter #COVID19",1243582321929998337_2294688672,extend may 1st original,0
2020-03-28T16:02:00Z,"We couldn't stay indoors for too long. Here's a quick video for y'all to enjoy. 
Music by: Ricardo Montaner - Lo Mas Lindo de mi Vida
Please like, share, and, Follow us on #Instagram
#Covid_19 #untilltomorrow #Dance #viral #QuarantineLife #dancers #SaturdayMotivation #Motivation https://t.co/qyHx0xHt7J",1243931351751016450_405601271,could stay long quick follow viral,0
2020-03-28T01:37:11Z,https://t.co/ojS27moUrf a little Birdy told me...@birdy 🙏🎧🗝 #coronavirus #CoronaLockdown,1243713716677300225_92644374,little birdy tell birdy,0
2020-03-05T13:05:20Z,"Call me crazy, but disease or no disease, I don’t think Churches should ever close.

#Church #Corona #CoronavirusOutbreak #",1235551974541541376_118329607,call crazy think close,0
2020-03-24T15:08:11Z,“nothing is slowing the spread enough” #Covid19 or #coronavirus @NYGovCuomo,1242468259368067072_145344704,slow spread enough,0
2020-03-24T23:47:16Z,"The Louisiana #megachurch pastor who had 1,000 at his service on Sunday should be brought to on child abuse charges #coronavirus #COVID19 #nola",1242598890538442752_154977758,bring charge,0
2020-03-26T02:51:04Z,"Hey @LindseyGrahamSC FUCK YOU. My wife is a Registered Nurse here in Atlanta. Her pay is nowhere near enough to be on the frontlines fighting #COVID19. She is a year removed from cancer treatments, yet she goes to work 3-4 days a week, taking risks that may cost... https://t.co/WQwnicxP48",1243007533503127554_324172290,register enough fight remove go take may cost,0
2020-03-24T04:25:03Z,"Please tell me about these “death panels” again, Senator. 

#DeathPanels #COVIDー19 #covid19 #MedicareForAll #bernie2020 https://t.co/FMHtv99iUk",1242306408919556097_20409505,tell,0
2020-03-25T11:21:02Z,"Really like “a people centered economy” by @KevinJSchreiber. We are a creative, hard-working, compassionate region. All hands on deck to build a stronger, safer future. #COVID19 https://t.co/W8xe2wUr8s",1242773483039404032_21781176,center creative compassionate build strong safe,1
2020-03-28T16:17:17Z,"If this isn’t evidence that China is using @WHO to manipulate the story and the numbers on the #COVID19 pandemic, I don’t know what is. https://t.co/rCkdaSxDSv",1243935199135707136_3213815983,use manipulate know,0
2020-03-24T19:39:04Z,Let's settle this #jerryspringer #themauryshow #StayAtHomeOrder #coronavirus #ShutItDownNow #Chromatica #TuesdayMorning #Hantavirus #onlineclasses #Memes #memesdaily,1242536428061556737_1168070786571210752,let settle tuesdaymorne meme,0
2020-03-25T20:01:44Z,Fischer just said Jefferson County has had another #coronavirus fatality,1242904521338216449_872209853661552640,say,0
2020-03-25T08:59:35Z,"Lieutenant Governor #DanPatrick Suggested Elderly Should Be Sacrificed Too Save The Economy
""I SAY LETS START WITH HIM FIRST"" Pt2 #Coronavirus #ImpeachedTrump #WorstPresidentEver #DonaldTrump #Narcissist #Misogynist #Prejudice #Ignorance #Bigotry #Scammer #DonTheCon #ConArtist https://t.co/Fhu9DNjwYB",1242737883414487040_320957838,suggest elderly sacrifice say start pt2 impeachedtrump,0
2020-03-24T02:09:51Z,“We will get through it together Columbus.” @MayorGinther and @ChiefQuinlan address #COVID19 concerns with this new message. https://t.co/YVuY4VFWF1,1242272386440986624_705813006,concern new,0
2020-03-25T17:55:29Z,"@daniatkinson sings ""I Believe"" (@ElvisPresley cover) in light of the current global crisis, COVID-19. #daniatkinson #singer #nycsinger #music #singersongwriter #coversong #elvis #elvispresley #ibelieve #ballad #covid19 #stayathome #coronavirus

Day 5 IGT",1242872748462014469_260245342,believe cover current global,0
2020-03-28T15:43:26Z,"Tell friend to tell a friend to go follow @BYNDTHEPNDMC 
#publichealth goes beyond #COVID19",1243926680516902913_300200503,tell tell go follow go,0
2020-03-27T17:39:42Z,"The #newnormal during #covid_19 pandemic. My heart breaks for her as this is how she sees her classmates now😢 @ Howard, Wisconsin https://t.co/bX5vzqMKK6",1243593550908055553_38240576,newnormal pandemic break see,0
2020-03-26T01:04:20Z,@PPFA provides essential healthcare to women. As a man it’s not surprising you don’t know that. #ProtectOurCare #COVID19 https://t.co/I4J0I0FXm2,1242980673809461249_16621072,provide essential surprising know,0
2020-03-27T16:02:30Z,@realDonaldTrump #COVID19 what's that? Thank God we got more money for the JFK museum! https://t.co/0dVL8r61m0,1243569091882835973_991223146815541248,thank get,1
2020-03-25T13:58:06Z,Because tomorrow was suppose to be #OpeningDay and I miss living a normal life and not hearing about #coronavirus every 5 seconds. Also because this was a awesome trip w/ my dad and brother at a #Braves game on Fathers Day. https://t.co/wJnGb0LOX7,1242813011208871936_109940718,suppose live normal hear awesome,0
2020-03-24T23:11:27Z,#Coronavirus: Inside #Italy's #COVID19 #Lockdown | Foreign Correspondent https://t.co/2A1gFMuIgh via @YouTube,1242589878300356609_775420821632348161,foreign,0
2020-03-10T22:55:37Z,@KrishanaSankar @GradWriteSlack Still in denial. Plus who knows what might happen with #COVID19,1237512462368247809_1439272374,know may happen,0
2020-03-11T21:26:04Z,Add #captions to your videos using apps like @KapwingApp or #YouTube’s studio tool. Make sure everyone can access your announcements about #COVID19!,1237852312942465031_3431652425,add use make sure,0
2020-03-26T07:41:57Z,"PLEASE let @RepKatiePorter be OK soon. She is a single mom and one of the most important members of the House of Representatives, as far as I am concerned. I’d like to see her as President one day. #GetWellSoon #SaveKatiePorter #COVID2019 #coronavirus #covid https://t.co/srvXIZt5j4",1243080735248039936_12224342,let single important concern see,0
